id,name,playingRoles,teamId,teamName,match,wickets,economy,five_wicket,bolwing_strike_rate,best_bolling_performance,runs,batting_avg,high_score,batting_strike_rate,bowling_avg,credit,image_url
1079470,Ramandeep Singh,batsmen,335971,KKR,2,1,12.6,0,20,1/42,15,15,15,250,42,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/380600/380670.5.png"
604527,N Rana,batsmen,335971,KKR,2,0,,,,,15,7.5,9,55.55,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/323000/323054.1.png"
1079839,AS Roy,allrounder,335971,KKR,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/341000/341041.1.png"
276298,AD Russell,allrounder,335971,KKR,83,60,9.27,0,19.8,3/19,1063,22.14,71,164.04,30.68,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/316600/316615.1.png"
914541,SE Rutherford,batsmen,335971,KKR,28,1,10.28,0,42,1/21,428,25.17,68*,143.14,72,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322100/322173.1.png"
1131754,C Sakariya,bowler,335971,KKR,2,1,9.27,0,22,1/34,5,,5*,55.55,34,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/380600/380674.5.png"
1340422,Sakib Hussain,bowler,335971,KKR,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/387600/387604.1.png"
723105,RK Singh,batsmen,335971,KKR,33,2,3,0,3,2/3,546,42,69*,161.06,1.5,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/341000/341043.1.png"
311592,MA Starc,bowler,335971,KKR,65,79,7.74,1,18.4,4/20,98,9.8,14,98,23.81,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/390900/390978.5.png"
1350792,Suyash Sharma,bowler,335971,KKR,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/358000/358041.1.png"
1108375,CV Varun,bowler,335971,KKR,18,33,7.02,0,12.4,5/17,1,0.5,1*,16.66,14.57,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/331100/331167.1.png"
1039481,AAP Atkinson,bowler,335971,KKR,4,6,11.26,1,10.8,4/20,10,10,8*,43.47,20.33,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/387400/387416.6.png"
974109,Mujeeb Ur Rahman,bowler,335971,KKR,49,63,6.33,1,17.1,5/20,54,9,21,122.72,18.11,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383200/383240.1.png"
298438,JJ Roy,batsmen,335971,KKR,64,0,,,,,1522,24.15,78,137.61,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/319700/319791.1.png"
